date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2001-06-26,77.59,82.97,-19.41,21.2,9801.38,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-27,77.55,82.89,-19.45,20.88,9990.25,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-28,77.97,82.81,-19.01,20.01,10373.13,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-29,78.26,82.73,-18.71,19.06,11320.03,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-02,79.24,82.66,-17.69,18.76,11133.81,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-03,79.22,82.59,-17.71,18.92,11273.01,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-05,77.67,82.52,-19.32,20.09,9649.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-06,76.0,82.44,-21.06,21.63,8450.15,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-09,76.41,82.36,-20.63,22.48,8668.96,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-10,75.49,82.29,-21.59,23.25,7733.85,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-11,75.57,82.21,-21.51,24.01,8019.99,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-12,77.36,82.14,-19.64,22.09,9545.45,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-13,78.03,82.08,-18.95,21.14,9249.53,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-16,77.06,82.01,-19.96,22.91,8734.72,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-17,77.78,81.94,-19.21,22.61,9322.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-18,77.25,81.87,-19.76,23.6,8256.14,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-19,77.92,81.8,-19.06,22.51,8844.57,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-20,77.46,81.74,-19.54,22.34,8228.18,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-23,75.93,81.67,-21.13,23.74,7611.51,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-24,75.2,81.59,-21.89,25.24,7352.56,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-25,76.03,81.52,-21.03,24.0,7544.57,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-26,76.83,81.46,-20.2,23.01,7879.62,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-27,77.12,81.41,-19.9,22.0,8368.18,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-30,77.14,81.36,-19.87,22.69,8218.26,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-07-31,77.46,81.33,-19.54,21.62,8253.42,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-01,77.95,81.28,-19.03,20.56,9047.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-02,78.27,81.24,-18.7,20.09,9557.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-03,77.84,81.2,-19.15,19.89,9080.34,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-06,76.79,81.16,-20.23,21.89,8651.04,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-07,77.09,81.11,-19.92,21.01,8516.35,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-08,75.66,81.04,-21.41,22.32,7440.41,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-09,75.89,80.98,-21.18,21.75,7533.83,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-10,76.15,80.91,-20.9,20.55,7316.79,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-13,76.17,80.86,-20.88,20.42,7763.4,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-14,76.14,80.81,-20.92,20.48,7479.77,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-15,75.48,80.75,-21.6,20.91,6650.44,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-16,75.74,80.68,-21.33,21.54,6884.91,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-17,74.53,80.6,-22.59,23.84,5944.84,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-20,75.22,80.53,-21.87,22.87,6190.23,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-21,73.93,80.45,-23.2,24.4,5418.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-22,74.7,80.37,-22.41,22.44,5861.49,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-23,74.43,80.29,-22.69,22.23,5688.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-24,75.98,80.21,-21.08,19.71,6593.85,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-27,75.52,80.14,-21.55,20.56,6618.78,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-28,74.42,80.07,-22.7,22.0,5997.86,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-29,73.76,80.01,-23.39,23.03,5733.31,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-30,72.34,79.94,-24.86,25.41,5096.56,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-08-31,72.87,79.87,-24.31,24.92,5290.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-09-04,72.4,79.79,-24.19,25.85,4787.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
