Date,buy_hold_spy,buy_hold_qqq,trend_following_spy_200d,sixty_forty,dual_momentum,sector_momentum_top3_monthly,vix_overlay_spy_25,vix_overlay_spy_30,sector_rotation_5d_live,sector_rotation_sensitivity_best,ensemble_regime_routed,trend_leveraged_tqqq,trend_leveraged_upro,trend_with_inverse_sh,hedgefundie_55_45_upro_tmf,buy_dip_tqqq,vix_timing_with_inverse,tqqq_trend_1d_hold,tqqq_trend_5d_hold,tqqq_trend_21d_hold,tqqq_trend_vix_gated,tqqq_trend_trailing_stop_10pct,synth_3x_qqq_trend,synth_3x_spy_trend,synth_3x_qqq_trend_vix_gated,synth_3x_qqq_trend_trailing_stop_10pct
1993-08-13,103919.0151723868,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101358.2813810036,,
1993-08-16,104494.75292365965,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101368.33676606126,,
1993-08-17,104854.60676986934,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101378.39314867694,,
1993-08-18,105430.32085225661,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101388.45052894963,,
1993-08-19,105430.32085225661,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101398.5089069783,,
1993-08-20,105502.28215394432,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101408.56828286193,,
1993-08-23,105286.39824888117,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101418.62865669953,,
1993-08-24,106437.83430328427,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101428.69002859008,,
1993-08-25,106509.79560497198,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101438.7523986326,,
1993-08-26,106581.77268591673,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101448.81576692613,,
1993-08-27,106509.79560497198,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101458.88013356968,,
1993-08-30,106941.57919435532,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101468.9454986623,,
1993-08-31,107229.44018036322,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101479.01186230306,,
