Date,equal_weight,risk_parity,regime_routed,"tqqq_trend_trailing_stop_10pct (synth, 1999+)",sixty_forty (2002+),trend_following_spy_200d (1993+),buy_hold_spy
2018-10-08,503386.1984766956,267679.5032047373,1025582.661544959,1604483.6815326558,402333.73651703366,689734.4663964304,1061586.0384447547
2018-10-09,503655.4034776956,267670.741312757,1025470.9183970643,1604308.8637787658,403610.03476030246,688728.20084444,1060037.272197735
2018-10-10,495003.61579927796,267311.87389217725,1025693.9892908165,1604657.8494064196,395502.3484417569,666920.5998160696,1026472.6963912747
2018-10-11,490009.3952378304,267157.5318118812,1025806.9786448216,1604834.6168006877,392199.2124292193,652230.8779190277,1003863.410594655
2018-10-12,491142.9842221198,267208.79810060863,1025806.9786448216,1604834.6168006877,394921.1564032175,652230.8779190277,1017805.4626704841
2018-10-15,483691.793578744,257883.34450985392,988518.0161645504,1546497.5036217754,393521.08220974135,648567.0928289879,1012088.1306567179
2018-10-16,503544.9577388597,268812.85767993936,1074756.5065927648,1681414.2254037517,399041.6909290528,662748.8447973538,1034218.7367232294
2018-10-17,503387.2562108312,268592.24608904065,1075988.832305116,1683342.15044572,398138.0190948585,662867.1110018655,1034403.2909862616
2018-10-18,487810.6651648287,262633.42642562714,1001116.8090815156,1566207.8189383666,394632.36446571635,653294.5457187017,1019465.3149308203
2018-10-19,487069.98447712866,262307.39922718465,998304.3290249049,1561807.8046590006,394157.54533749085,652940.0706789137,1018912.1570781475
2018-10-22,488317.63210981735,262137.70795912435,1013672.159117235,1585850.1695782414,392888.0624137747,650009.3014658794,1014338.6954162739
2018-10-23,485395.02621247276,260991.84407281873,1002443.2439216374,1568282.9740042544,392186.1367478499,646700.0318623458,1009174.5843722334
2018-10-24,482959.8097583953,258989.52046957234,1002552.0780589229,1568453.2407256176,386240.78918561566,646700.0318623458,978598.096089875
2018-10-25,484441.0815785679,260146.5364279498,1002661.9264938532,1568625.094275698,389752.3525183546,646700.0318623458,996154.6724410354
2018-10-26,483144.6912003086,259131.66117474454,1002771.7749287834,1568796.9478257787,386580.6577504905,646700.0318623458,978634.8302147329
2018-10-29,482463.64525722933,258607.94495098584,1002771.7749287834,1568796.9478257787,384945.8730156332,646700.0318623458,973212.8228920501
2018-10-30,483573.97085791867,259462.60899181946,1002771.7749287834,1568796.9478257787,387603.5774575571,646700.0318623458,987634.3752196769
2018-10-31,484296.85658495256,260007.05471879186,1002880.6090660689,1568967.214547142,389299.7736767889,646700.0318623458,998183.3176421709
2018-11-01,485422.8413955143,260849.11718198578,1003100.407365694,1569311.0803301746,391929.8049717333,646700.0318623458,1008805.854548487
2018-11-02,484043.1086265931,259800.67805668275,1003100.407365694,1569311.0803301746,388587.82135092677,646700.0318623458,1002830.8787242909
2018-11-05,484848.43559058115,260397.89062770837,1003210.1543708597,1569482.7751973835,390484.84635984706,646700.0318623458,1008363.2777727065
2018-11-06,485421.78839669254,260827.06516406598,1003210.1543708597,1569482.7751973835,391870.1385417124,646700.0318623458,1014743.9700137193
2018-11-07,506271.0076403058,268623.37762444594,1097575.8751535774,1717114.2287789537,397113.092377628,660545.3027959324,1036468.733429308
2018-11-08,502539.15280804085,267552.9994235977,1076530.645570356,1684189.795959935,396666.5455020297,659346.4047774212,1034587.5296640287
2018-11-09,491946.1332877896,264269.60388472583,1022064.1767544908,1598979.150653085,395526.34076324984,652905.8626758973,1024481.6058366863
2018-11-12,487453.9918014517,261305.22153250838,1021952.8291757378,1598804.9517515374,392124.9027617318,640706.0646912536,1005338.7717090118
2018-11-13,487249.383647018,261133.32477909196,1022064.1767544908,1598979.150653085,391588.3968268541,640706.0646912536,1003457.5679437325
2018-11-14,486605.342979215,260634.92380766332,1021952.8291757378,1598804.9517515374,390078.2667583899,640706.0646912536,996597.186099763
2018-11-15,487645.84233991196,261424.4618300819,1022288.0081117798,1599329.3259959917,392452.62113257404,640706.0646912536,1006998.5608522948
2018-11-16,488293.4047562985,261922.40535916947,1022399.2523996434,1599503.363303011,393973.37062196183,640706.0646912536,1009617.2873821199
2018-11-19,486805.5174465796,260765.17467620652,1022288.0081117798,1599329.3259959917,390414.78842877207,640706.0646912536,992540.085048651
2018-11-20,485061.76066721685,259391.47961883634,1022511.4263055115,1599678.8549607852,386134.0203347033,640706.0646912536,974171.9496297515
2018-11-21,485405.1831482619,259635.68175790392,1022734.7412083537,1600028.2223310503,386869.83495083207,640706.0646912536,977491.5910333706
2018-11-23,484824.30681834056,259190.6680068835,1022734.7412083537,1600028.2223310503,385480.95281060034,640706.0646912536,970962.8893030244
2018-11-26,486261.44253819226,260281.62347854482,1022846.5019506642,1600203.067610711,388866.80330732133,640706.0646912536,986638.5774741706
2018-11-27,486661.98139063804,260584.42753346896,1022846.5019506642,1600203.067610711,389827.74478566257,640706.0646912536,989957.9664095776
2018-11-28,488604.8633869762,262042.5453347397,1022958.0561111959,1600377.5897013154,394454.112353585,640706.0646912536,1012752.3114056538
