Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2020-03-08,,,,,,,,,,,,1772909.0657824767,
2020-03-09,168669.76709794396,140546.69207105532,160405.328348529,177247.51626167432,185616.1799372778,108129.23269721757,152608.7217404681,104813.45999253631,98942.3300669505,103551.62184708312,104587.37620361845,1732572.7527857649,6197549.649721909
2020-03-10,177397.53762700447,140546.69207105532,160370.25268248687,177208.75773194717,187573.2164339873,113724.34998884633,158219.99584881988,104813.45999253631,98942.3300669505,103551.62184708312,105223.3455116321,1729530.1102948561,6197549.649721909
2020-03-11,168749.6861313981,140546.69207105532,160405.32834852897,177247.51626167432,179325.95858513552,108180.46644179424,151061.9670711026,104813.45999253631,98942.3300669505,103551.62184708312,104343.77248729572,1729901.9793311334,6197549.649721909
2020-03-12,152604.19282238348,140546.69207105532,160422.85829228643,177266.88680891987,169476.0500086033,97830.06498539067,137305.3517026579,104813.45999253631,98942.3300669505,103551.62184708312,102640.85396474248,1086905.3960714194,6197549.649721909
2020-03-13,165649.75807085188,140546.69207105532,160457.83928716512,177305.54072723072,176636.46720003174,106193.19362835167,148343.06588634677,104813.45999253631,98942.3300669505,103551.62184708312,103958.54828610683,1216552.2025639932,6197549.649721909
2020-03-14,,,,,,,,,,,,1137104.6197294113,
2020-03-15,,,,,,,,,,,,1179075.8539298319,
2020-03-16,147523.75773503174,140546.69207105532,160475.32189534087,177324.85896876815,169615.57470790876,94573.14729815412,131020.17779689925,104813.45999253631,98942.3300669505,103551.62184708312,101846.68833334328,1096459.0030869641,6197549.649721909
2020-03-17,155488.8570869605,140546.69207105532,160475.32189534087,177324.85896876815,170586.1039969368,99679.33850301325,142322.4801562544,104813.45999253631,98942.3300669505,103551.62184708312,103284.34454196201,1142628.6312332756,6197549.649721909
2020-03-18,147616.0209831109,140546.69207105532,160510.3502258013,177363.56519278718,161554.43676061038,94632.29455609253,136896.7050835569,104813.45999253631,98942.3300669505,103551.62184708312,102629.59915239249,1145429.446745382,6197549.649721909
2020-03-19,147929.67905555462,140546.69207105532,160475.3218953409,177324.85896876818,163519.77917798967,94833.37153204478,133471.187584693,104813.45999253631,98942.3300669505,103551.62184708312,102194.94746761661,1353757.3566549562,6197549.649721909
2020-03-20,141554.79593791126,140546.69207105532,160527.88016955872,177382.93574003273,164210.1395404791,90746.62123941559,126194.02865659681,104813.45999253631,98942.3300669505,103551.62184708312,101257.29523017559,1355415.9801055938,6197549.649721909
2020-03-21,,,,,,,,,,,,1352417.7526359574,
2020-03-22,,,,,,,,,,,,1274835.1736273,
2020-03-23,137935.46604801816,140546.69207105532,160492.85183909832,177344.22951601373,164397.79768558903,88426.37517157706,121478.5130827087,104813.45999253631,98942.3300669505,103551.62184708312,100840.63544796454,1402982.2257837872,6197549.649721909
2020-03-24,150432.88449481403,140546.69207105532,160492.85183909832,177344.22951601373,172110.70900168418,96438.10300282136,133098.81041777635,104813.45999253631,98942.3300669505,103551.62184708312,101542.45411267712,1472622.5235005578,6197549.649721909
2020-03-25,152684.90262499417,140546.69207105532,160492.85183909832,177344.22951601373,173500.29269283064,97881.80566884328,134764.68993503883,104813.45999253631,98942.3300669505,103551.62184708312,101542.45411267712,1460871.6541345706,6197549.649721909
2020-03-26,161600.14706252367,140546.69207105532,160492.85183909832,177344.22951601373,179920.20363714654,103597.10697579547,144359.93709808317,104813.45999253631,98942.3300669505,103551.62184708312,101542.45411267712,1468607.2347505367,6197549.649721909
2020-03-27,156786.74547656937,140546.69207105532,160457.83928716514,177305.54072723075,178625.8377675161,100511.37662169723,141415.27516531065,104813.45999253631,98942.3300669505,103551.62184708312,101198.52749708117,1414676.8290050374,6197549.649721909
2020-03-28,,,,,,,,,,,,1364909.1570681576,
2020-03-29,,,,,,,,,,,,1294905.4248984763,
2020-03-30,161878.5388845328,140546.69207105532,160457.83928716514,177305.54072723075,181518.48436843028,103775.57579460608,147352.05592766276,104813.45999253631,98942.3300669505,103551.62184708312,101549.75204560184,1405939.9886066394,6197549.649721909
2020-03-31,159465.66598424315,140546.69207105532,160475.3218953409,177324.85896876818,179305.7773107971,102228.75386087607,145220.94030950216,104409.92663729895,98942.3300669505,103551.62184708312,101060.7553181415,1407864.7818842765,6197549.649721909
2020-04-01,152288.91213270955,140546.69207105532,160461.29478462948,177309.35904392452,175468.8344656024,102219.81806918324,140254.89145855804,103833.20500264938,98942.3300669505,103551.62184708312,100062.46114525784,1444628.248073642,6197549.649721909
2020-04-02,155803.06972478665,140546.69207105532,160478.87206396862,177328.7818968782,178343.6770863233,102231.01545044962,143839.16562219453,104115.50314558786,98942.3300669505,103551.62184708312,100537.56830489784,1485484.1954658641,6197549.649721909
2020-04-03,153551.05159460654,140546.69207105532,160426.31378975077,177270.70512561363,176966.72975130868,102197.53387325187,143041.37942435028,103692.76588426574,98942.3300669505,103551.62184708312,100067.47060923459,1472312.7927873102,6197549.649721909
2020-04-04,,,,,,,,,,,,1501643.682760639,
