date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2022-06-16,346.95,416.18,-23.01,32.95,83738.07,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-17,347.7,415.8,-22.84,31.13,86789.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-21,356.45,415.46,-20.9,30.19,93355.22,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-22,355.81,415.12,-21.05,28.95,92943.22,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-23,359.29,414.8,-20.27,29.05,97092.29,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-24,370.72,414.54,-17.74,27.23,107068.77,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-27,369.3,414.28,-18.05,26.95,104709.86,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-28,361.76,414.0,-19.72,28.36,95135.38,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-29,361.46,413.72,-19.79,28.16,95393.47,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-30,358.52,413.43,-20.44,28.71,91840.38,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-01,362.32,413.14,-19.6,26.7,93655.48,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-05,363.0,412.86,-19.45,27.54,98461.98,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-06,364.23,412.61,-19.18,26.73,100352.3,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-07,369.68,412.42,-17.97,26.08,106790.9,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-08,369.38,412.23,-18.03,24.64,107188.66,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-11,365.16,411.99,-18.97,26.17,100314.56,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-12,361.93,411.72,-19.69,27.29,97395.53,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-13,360.03,411.43,-20.11,26.82,96789.55,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-14,359.15,411.15,-20.3,26.4,97822.78,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-15,366.01,410.94,-18.78,24.23,103142.42,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-18,362.99,410.71,-19.45,25.3,100519.94,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-19,372.8,410.56,-17.27,24.5,109789.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-20,375.17,410.4,-16.75,23.88,115008.58,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-21,378.99,410.28,-15.9,23.11,119957.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-22,375.48,410.12,-16.68,23.03,113642.06,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-25,375.93,409.95,-16.58,23.36,111696.15,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-26,371.49,409.75,-17.57,24.69,105107.68,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-27,381.13,409.6,-15.42,23.24,118429.27,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-28,385.91,409.48,-14.36,22.33,121898.81,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-07-29,391.54,409.4,-13.12,21.33,128563.4,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-01,390.38,409.31,-13.37,22.84,128326.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-02,387.8,409.17,-13.94,23.93,127173.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-03,393.88,409.04,-12.6,21.95,137558.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-04,393.61,408.91,-12.66,21.44,139483.27,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-05,392.95,408.75,-12.8,21.15,136059.76,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-08,392.49,408.59,-12.9,21.29,134735.12,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-09,390.93,408.41,-13.25,21.77,130155.01,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-10,399.14,408.28,-11.43,19.74,141048.37,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-11,399.14,408.13,-11.43,20.2,138641.36,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-12,405.9,408.02,-9.93,19.53,146734.31,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-15,407.57,407.92,-9.56,19.95,150286.25,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-16,408.37,407.81,-9.38,19.69,149224.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-17,405.47,407.68,-10.02,19.9,144112.84,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-08-18,406.65,407.55,-9.76,19.56,145147.23,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-19,401.19,407.39,-10.98,20.6,136651.89,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-22,392.83,407.17,-12.83,23.8,125853.71,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-23,391.88,406.93,-13.04,24.11,125536.67,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-24,393.14,406.69,-12.76,22.82,126623.12,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-25,398.69,406.48,-11.53,21.78,133335.18,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-26,385.19,406.21,-14.52,25.56,116934.66,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-08-29,382.64,405.95,-15.09,26.21,113472.9,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
